subjID	choice	RT	condition
1	2	0.562735830950254	1
1	2	0.602009198965955	1
1	1	0.683910580176969	1
1	2	0.589617085201019	1
1	2	0.683291415954774	1
1	2	0.504949785057884	1
1	2	0.532233226405831	1
1	2	0.558863925891172	1
1	2	0.663316880013243	1
1	2	0.539494339535711	1
1	2	0.468216962454313	1
1	1	0.953227665620066	1
1	2	0.451930374942596	1
1	2	0.496613553003078	1
1	2	0.600630767704671	1
1	2	0.45709265776251	1
1	2	0.513195046984245	1
1	2	0.505234820686206	1
1	1	0.936938724206904	1
1	1	0.577795173028715	1
1	1	0.539954438753507	1
1	2	0.494644872845486	1
1	2	0.476286485851753	1
1	2	0.541097250333556	1
1	1	0.626164910695369	1
1	2	0.4966318799489	1
1	2	0.539676985245309	1
1	2	0.533422571109905	1
1	2	0.523900618587468	1
1	1	0.489596595955337	1
1	2	0.759381544304588	1
1	2	0.488032689785632	1
1	1	1.02746391313774	1
1	2	0.487393833997179	1
1	1	0.626073288191072	1
1	2	0.682249796370559	1
1	2	0.473222779226029	1
1	2	0.518130759497367	1
1	2	0.626572386913852	1
1	2	0.486102328050885	1
1	2	0.538263143117159	1
1	2	0.440816397759653	1
1	2	0.493770741361467	1
1	2	0.637442109128456	1
1	2	0.515260135336241	1
1	2	0.712496630162833	1
1	1	0.511325988340753	1
1	2	0.500798755961473	1
1	2	0.453646198071155	1
1	2	0.703270070524497	1
1	1	0.692783380754292	1
1	1	0.70970740171622	1
1	1	0.666440861632359	1
1	2	0.504053959122565	1
1	2	0.527483556715119	1
1	2	0.847056133662845	1
1	2	0.52624359126612	1
1	2	0.689764252762515	1
1	2	0.521812133321512	1
1	1	0.518473784043422	1
1	2	0.52214579956135	1
1	2	0.500772043950252	1
1	2	0.766564025513427	1
1	2	0.482321840737331	1
1	1	0.828475139876578	1
1	1	0.5185935047472	1
1	1	0.728212657396878	1
1	1	0.490237534759121	1
1	2	0.51470279333495	1
1	2	0.65898230545797	1
1	2	0.834217273272519	1
1	2	0.801483877696019	1
1	2	0.579695001576341	1
1	2	0.540697490095079	1
1	2	0.598084821158393	1
1	2	0.557356758186712	1
1	1	0.678925630483928	1
1	2	0.629186845235734	1
1	1	0.560265457262729	1
1	2	0.716180316808745	1
1	2	0.556722594926056	1
1	2	0.624685144219309	1
1	2	0.583637713046426	1
1	1	0.618314854607555	1
1	1	0.514099236504111	1
1	2	0.495111985918412	1
1	2	0.540767538520084	1
1	2	0.559014325259088	1
1	1	0.48229774987453	1
1	1	0.649320138510892	1
1	2	0.597433912813145	1
1	2	0.523389527946607	1
1	1	0.602768264128129	1
1	2	0.593877037876033	1
1	2	0.676312733460956	1
